epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9359,1.3608,1.70314,3.04144,0.0808,0.74862,0.76923,0.83389,0.57029,1.12435,1.58912,2.71429,0.03082,0.000651515,0.000651515,0.000651515
2,19.4812,0.95586,1.00495,2.31768,0.01051,0.91056,0.91364,0.92717,0.64214,1.08008,1.1542,2.56389,0.01128,0.00130513,0.00130513,0.00130513
3,27.2133,0.8555,0.82684,2.08438,0.01027,0.85426,0.92682,0.93309,0.67043,0.96188,1.18573,2.35896,0.01011,0.00194555,0.00194555,0.00194555
4,34.8151,0.78653,0.73293,1.96283,0.00873,0.93555,0.9188,0.94947,0.69362,0.90172,0.7972,2.13454,0.00567,0.0019406,0.0019406,0.0019406
5,42.2396,0.75458,0.70037,1.92654,0.00961,0.93692,0.9521,0.96427,0.77786,0.73332,0.6704,2.02145,0.00468,0.0019208,0.0019208,0.0019208
6,49.6582,0.6913,0.62691,1.82545,0.00618,0.91012,0.95204,0.92639,0.72729,0.85655,0.78493,2.10158,0.00549,0.001901,0.001901,0.001901
7,57.275,0.63633,0.57739,1.77706,0.00984,0.93966,0.93164,0.96378,0.79713,0.65025,0.59369,1.83754,0.00424,0.0018812,0.0018812,0.0018812
8,64.9092,0.62131,0.56888,1.71115,0.00924,0.96092,0.94872,0.95914,0.81301,0.67823,0.55539,1.80368,0.00651,0.0018614,0.0018614,0.0018614
9,72.4108,0.61856,0.53647,1.69845,0.00917,0.9445,0.95726,0.97567,0.80755,0.67221,0.55292,1.88529,0.0066,0.0018416,0.0018416,0.0018416
10,80.9376,0.58078,0.52681,1.65283,0.01155,0.95272,0.94734,0.96766,0.81993,0.60141,0.52678,1.82335,0.00462,0.0018218,0.0018218,0.0018218
11,88.4136,0.54547,0.49125,1.60536,0.00661,0.92442,0.95726,0.93963,0.79409,0.70996,0.70958,1.85333,0.00516,0.001802,0.001802,0.001802
12,95.8881,0.56615,0.49814,1.6024,0.00673,0.95266,0.94872,0.95821,0.8311,0.60161,0.54009,1.87446,0.0045,0.0017822,0.0017822,0.0017822
13,103.299,0.54159,0.47975,1.58574,0.00666,0.96074,0.96154,0.9725,0.8263,0.62752,0.53599,1.67398,0.00478,0.0017624,0.0017624,0.0017624
14,110.756,0.53111,0.4588,1.56572,0.00718,0.97288,0.95726,0.98126,0.86664,0.50531,0.47957,1.72189,0.00388,0.0017426,0.0017426,0.0017426
15,118.245,0.50935,0.44652,1.5465,0.00615,0.9308,0.97716,0.9683,0.864,0.53226,0.485,1.66824,0.00456,0.0017228,0.0017228,0.0017228
16,125.628,0.49093,0.42827,1.51685,0.00585,0.9572,0.95566,0.95203,0.85013,0.5005,0.54862,1.71306,0.00401,0.001703,0.001703,0.001703
17,133.043,0.48639,0.43086,1.52301,0.00742,0.96203,0.97458,0.98164,0.85938,0.56407,0.43269,1.61781,0.00388,0.0016832,0.0016832,0.0016832
18,140.498,0.4932,0.43156,1.51962,0.00835,0.98374,0.96581,0.97795,0.88396,0.51781,0.40618,1.66492,0.00565,0.0016634,0.0016634,0.0016634
19,148.041,0.47319,0.4155,1.48857,0.00697,0.96564,0.9607,0.9679,0.85516,0.57512,0.49533,1.63916,0.00461,0.0016436,0.0016436,0.0016436
20,155.52,0.46921,0.41616,1.49455,0.00634,0.93817,0.97267,0.96179,0.83823,0.61832,0.54915,1.78489,0.00406,0.0016238,0.0016238,0.0016238
21,162.948,0.48819,0.41417,1.47523,0.00537,0.97362,0.97436,0.96524,0.846,0.55116,0.45737,1.6499,0.00414,0.001604,0.001604,0.001604
22,170.318,0.45867,0.39918,1.46547,0.00611,0.93804,0.96154,0.95444,0.83739,0.58503,0.53421,1.63881,0.00403,0.0015842,0.0015842,0.0015842
23,177.879,0.45455,0.41709,1.46643,0.00767,0.89424,0.93948,0.91615,0.8314,0.56909,0.74778,1.6341,0.00523,0.0015644,0.0015644,0.0015644
24,185.28,0.45352,0.41506,1.45917,0.00834,0.94945,0.96322,0.96347,0.86846,0.50456,0.41075,1.53987,0.00363,0.0015446,0.0015446,0.0015446
25,192.778,0.44332,0.39724,1.44261,0.0065,0.95671,0.9359,0.962,0.87322,0.49197,0.47319,1.59501,0.00402,0.0015248,0.0015248,0.0015248
26,200.272,0.43418,0.3806,1.42888,0.00455,0.93346,0.95922,0.95212,0.85476,0.54608,0.50905,1.62418,0.00334,0.001505,0.001505,0.001505
